Age,Gender,Department,YearsAtCompany,WorkHoursPerWeek,RemoteWork,BurnoutLevel,JobSatisfaction,StressLevel,ProductivityScore,SleepHours,PhysicalActivityHrs,CommuteTime,HasMentalHealthSupport,ManagerSupportScore,HasTherapyAccess,MentalHealthDaysOff,SalaryRange,WorkLifeBalanceScore,TeamSize,CareerGrowthScore,BurnoutRisk
50,1,1,14,47,1,3.37,5.06,9.47,4.16,7.0,7.9,117,0,3.15,1,8,1,8.82,6,9.2,0
36,1,2,1,59,0,7.39,2.0,5.65,3.74,7.2,9.0,8,1,4.4,1,4,3,2.8,45,8.46,1
29,2,2,13,59,0,7.1,7.17,5.7,8.8,5.2,9.7,75,0,3.63,0,6,3,7.28,7,7.96,1
42,1,2,15,31,2,4.18,3.76,6.4,4.69,8.7,5.8,43,1,4.5,1,9,2,1.31,11,8.9,0
40,1,5,6,34,2,8.28,2.34,3.41,2.12,4.2,3.3,58,1,5.51,1,6,4,1.17,18,8.88,1
44,3,5,3,58,0,3.12,4.81,4.45,1.09,8.5,3.2,23,1,2.56,0,6,1,5.06,38,4.32,0
32,3,0,17,30,0,5.15,9.68,5.98,7.5,5.9,3.8,62,0,4.54,1,9,0,6.91,12,9.76,0
32,1,3,4,39,1,5.25,4.7,9.48,7.43,7.6,6.1,77,1,4.47,0,3,3,2.28,22,7.38,0
45,3,4,5,49,0,4.07,4.13,6.78,4.76,7.3,4.9,112,0,3.57,0,3,3,7.87,3,4.33,0
57,3,0,6,59,0,9.59,5.0,4.0,2.14,4.8,6.5,40,1,9.99,0,2,2,2.16,19,4.98,1
45,1,4,14,39,2,7.27,1.11,1.09,4.34,5.6,0.4,75,0,1.66,0,3,3,5.8,43,7.18,1
24,2,3,0,34,0,5.85,2.2,9.83,6.31,6.6,1.1,90,1,6.79,1,8,3,3.77,23,4.25,0
43,1,5,3,47,0,5.59,8.65,5.44,7.34,8.2,9.8,73,0,2.57,0,4,3,7.77,34,8.44,0
23,3,4,0,50,2,2.43,9.8,9.45,1.7,8.8,10.0,106,0,8.56,1,5,2,8.24,3,2.33,0
45,2,2,10,55,1,4.35,2.42,5.94,6.01,4.1,7.5,1,0,9.23,1,3,4,1.59,23,9.17,0
51,0,1,17,44,2,7.05,5.82,6.45,3.49,5.8,2.6,94,0,4.61,1,0,3,2.73,49,3.71,1
59,2,5,13,49,2,9.32,9.7,7.41,6.56,7.3,9.5,27,0,8.41,0,6,1,9.03,5,2.37,1
23,3,2,10,37,0,8.35,2.41,3.89,6.83,6.6,2.1,15,0,3.25,0,6,3,4.74,29,8.72,1
42,2,2,9,46,0,3.7,2.68,7.29,9.2,8.7,7.3,58,0,2.26,0,5,3,5.29,34,3.16,0
54,1,3,16,41,1,4.91,9.34,5.74,4.69,4.1,1.2,0,0,3.84,0,3,1,2.51,44,8.59,0
